work,0.005858721
year,0.00546814
wors,0.00230629
stop,0.001376334
effect,0.001655321
month,0.001153145
horribl,0.00126474
great,0.004333594
day,0.00042778
did,0.001450731
worst,0.001785515
onli,0.002827065
week,0.000595172
didnt,0.001097348
start,0.000148793
im,0.000688167
bleed,0.000688167
took,0.000799762
help,0.001711119
pain,0.000241788
time,0.000185991
feel,0.000334784
like,0.000185991
caus,0.000985753
life,0.001915709
veri,0.000390581
bad,0.000502176
love,0.00167392
ive,0.000483577
just,0.000148793
pill,0.000223189
sever,0.000409181
gain,0.000762564
use,0.001097348
terribl,0.000706766
got,0.000520775
best,0.00146933
depress,0.000464978
2,0.000111595
period,0.000446379
extrem,0.00042778
3,0.000241788
medic,0.000334784
becaus,0.000185991
doctor,0.000297586
good,0.001413533
medicin,0.00063237
tri,0.000278987
better,0.000799762
headach,0.000390581
weight,0.000223189
constant,0.000557973
ani,0.000371982
felt,0.000278987
switch,0.000464978
dont,0.000130194
realli,0.000148793
far,0.001376334
noth,0.000371982
befor,1.86E-05
sinc,0.000353383
drug,0.000502176
dizzi,0.000278987
sleep,1.86E-05
littl,0.000371982
hope,-3.72E-05
make,9.30E-05
control,0.00020459
aw,0.000502176
hour,-0.000167392
amaz,0.000985753
stomach,0.000316185
remov,0.000669568
birth,0.000185991
cramp,0.000130194
experienc,5.58E-05
went,3.72E-05
thought,0.00020459
doe,0.000241788
night,7.44E-05
nausea,7.44E-05
anxieti,-7.44E-05
doesnt,0.000483577
mood,0.000130194
everi,1.86E-05
want,0.000167392
cri,0.000278987
think,5.58E-05
4,9.30E-05
lot,0.000167392
wonder,0.000669568
thing,3.72E-05
howev,0.000148793
problem,9.30E-05
tire,0.000130194
swing,0.000185991
ago,3.72E-05
notic,9.30E-05
prescrib,7.44E-05
gave,7.44E-05
sex,7.44E-05
5,9.30E-05
burn,0.000781163
bodi,-0.000111595
dose,-7.44E-05
recommend,-5.58E-05
know,3.72E-05
chang,7.44E-05
experi,9.30E-05
miracl,0.000892758
6,0
acn,0.000260388
someth,5.58E-05
symptom,0.000185991
gone,0.000595172
need,0.000241788
vomit,0.000130194
anoth,0.00020459
away,0
differ,3.72E-05
becam,0.000260388
taken,1.86E-05
clear,0.000297586
happi,0.00063237
anyth,7.44E-05
diarrhea,0.000297586
reaction,0.000334784
pregnant,0.000111595
end,0.000316185
10,5.58E-05
normal,0.00020459
sick,9.30E-05
told,0.000241788
wast,0.000353383
say,0.000130194
increas,0
second,0.000148793
later,0.000111595
lost,0.000278987
develop,0.000130194
sure,1.86E-05
blood,0.000111595
drive,9.30E-05
infect,9.30E-05
havent,0.00020459
mg,0.000167392
abl,0.000688167
spot,0.000130194
thank,0.000613771
long,0.000111595
itch,0.000353383
nauseous,0.000260388
pound,7.44E-05
hate,0.000260388
said,1.86E-05
suffer,0.000111595
high,0.00020459
1,-1.86E-05
come,0.000130194
relief,0.000167392
heart,0.000390581
eat,-1.86E-05
skin,0
alway,0.000241788
crazi,0.000148793
complet,0.000111595
continu,7.44E-05
morn,7.44E-05
onc,0.000223189
mani,9.30E-05
right,7.44E-05
discontinu,0.000111595
heavi,0.000241788
way,-3.72E-05
loss,3.72E-05
med,3.72E-05
bloat,5.58E-05
old,-7.44E-05
shot,0.000111595
worth,9.30E-05
read,1.86E-05
irrit,3.72E-05
leg,0.000130194
dure,-0.000130194
final,0.000223189
weak,0.000130194
els,3.72E-05
issu,5.58E-05
today,3.72E-05
emot,-3.72E-05
result,9.30E-05
point,3.72E-05
insert,3.72E-05
bit,0.000130194
chest,5.58E-05
face,7.44E-05
