,acc,loss,val_acc,val_loss
0,0.7096168294963221,0.5954825389573307,0.7327327336276974,0.5467470857474181
1,0.8050338091212588,0.45829429888886497,0.7792792789212935,0.531656639175014
2,0.8643876784372652,0.37412179255848266,0.830330331046302,0.4250541710638785
3,0.897069872231702,0.3025482450993235,0.8753753748383966,0.36050775137033547
4,0.8884297520661157,0.31035778728040153,0.7867867875027585,0.4926787512796419
5,0.8546205860703265,0.39481048325145274,0.8183183176023466,0.47390256540195363
6,0.8835462058154736,0.33795046096543097,0.8858858851699142,0.358253860974813
7,0.9000751314353083,0.3059675691048961,0.81831831903429,0.46246422769071105
8,0.8538692711798612,0.36490741141481925,0.867867867330889,0.3626377935166116
9,0.8936889557172086,0.30420424170640964,0.8858858864228647,0.3533539120499436
10,0.9135987978963186,0.26933877248454147,0.8858858862438718,0.36410609675241307
11,0.9169797145003756,0.25509268114837286,0.8768768774138557,0.37248726712690816
12,0.9244928625093914,0.23404185369241337,0.8783783776624067,0.3719292063791831
